video_id,start_time,end_time,filename,phrase,word_boundaries,neg_files,num_frames,score,correct_2spk,correct_4spk,correct_6spk
zuC2WzMLzzs,202.8,205.76,zuC2WzMLzzs_202.800000-205.760000/00000,of new technological surprise we go,"[['of', 0, 2], ['new', 8, 12], ['technological', 14, 35], ['surprise', 37, 52], ['we', 63, 69], ['go', 70, 74]]","['uzgdaJCf0Mk_231.366933-234.326933/00000', 'Dt-8Io0i_F4_232.509000-235.509000/00001', 'nT40EZ5ZUD0_93.223267-96.183267/00000', '6b8aekOT3Po_270.523067-273.443067/00000', 'aT6UHJhmG38_188.255167-191.255167/00000']",76,,,,
CF2HyCYJrFU,170.122567,171.882567,CF2HyCYJrFU_170.122567-171.882567/00000,back the only way this can,"[['back', 0, 5], ['the', 20, 22], ['only', 26, 31], ['way', 33, 36], ['this', 37, 41], ['can', 41, 44]]","['YhK7opcG6ao_97.123533-98.843533/00000', 'FQ0UwvWltrY_55.280000-57.080000/00000', 'mj3Tt0uratA_170.749300-172.509300/00000', '1kgrbYCHspE_293.786267-295.506267/00001', 'ULfHmIWVrYE_127.540000-129.300000/00000']",46,,,,
5LnLIV7cB3c,278.964,280.764,5LnLIV7cB3c_278.964000-280.764000/00000,and by equitable i dont mean that we,"[['and', 0, 2], ['by', 3, 6], ['equitable', 9, 19], ['i', 19, 20], ['dont', 24, 30], ['mean', 32, 37], ['that', 38, 41], ['we', 42, 45]]","['P6myrg6QCLk_65.965900-67.765900/00000', 'x9hSsX9sTOs_54.449800-56.249800/00000', 'LXbUrJ59NVc_75.511400-77.311400/00000', 'w7wgIZJsUUI_101.438333-103.238333/00000', '0iRZiM4reRk_138.343233-140.143233/00000']",47,"[0.8462229, 0.82148385, 0.737966]",0.0,0.0,0.0
ANLG0N8QYTc,229.199867,232.199867,ANLG0N8QYTc_229.199867-232.199867/00000,cards only work inside of japan but while,"[['cards', 0, 6], ['only', 8, 13], ['work', 13, 19], ['inside', 21, 28], ['of', 28, 29], ['japan', 30, 39], ['but', 64, 70], ['while', 71, 75]]","['YhK7opcG6ao_53.558333-56.558333/00000', 'QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000']",77,,,,
dUTVpMh4F0c,101.104233,104.424233,dUTVpMh4F0c_101.104233-104.424233/00000,besides those sounds a little babbling theres really not much,"[['besides', 0, 10], ['those', 10, 15], ['sounds', 16, 26], ['a', 27, 27], ['little', 30, 35], ['babbling', 36, 49], ['theres', 60, 65], ['really', 66, 73], ['not', 74, 77], ['much', 78, 83]]","['-7DubWJt6fg_133.598167-136.878167/00000', 'atxtQBahe_c_265.619000-268.939000/00000', '-FnK36ZXdNw_120.320000-123.720000/00000', 'oNV0SJoxrQY_245.761333-249.041333/00000', 'FLhuFKCiX0A_266.228333-269.788333/00000']",85,"[0.97387654, 0.8935933, 0.8170764]",0.0,0.0,0.0
7DOylZTu31A,286.04,288.88,7DOylZTu31A_286.040000-288.880000/00000,really good i think that the first pair was probably my favorite but these,"[['really', 0, 4], ['good', 5, 9], ['i', 11, 13], ['think', 14, 18], ['that', 19, 22], ['the', 30, 32], ['first', 33, 38], ['pair', 39, 43], ['was', 44, 46], ['probably', 47, 52], ['my', 53, 56], ['favorite', 56, 64], ['but', 65, 67], ['these', 68, 71]]","['7ygifPlY2dM_141.900400-144.700400/00000', 'kKLNfnKgjNI_74.263967-77.063967/00000', '4Q207Z-HkUo_60.600000-63.440000/00000', '6EUq0VJb1_c_151.163467-153.963467/00000', 'xeAdUEIb_ys_70.480000-73.280000/00000']",72,"[0.9890086, 0.50918454, 0.33831576]",1.0,1.0,1.0
Y7gsojpTC1s,262.908633,264.828633,Y7gsojpTC1s_262.908633-264.828633/00000,no i suck its that eyes are not,"[['no', 0, 5], ['i', 7, 10], ['suck', 11, 18], ['its', 19, 23], ['that', 24, 29], ['eyes', 37, 40], ['are', 41, 43], ['not', 43, 48]]","['CPvrxs7HUXg_70.608900-72.568900/00000', 'gD5ciEMMTB8_117.400000-119.360000/00000', '2zcZGcygoqg_90.920000-92.840000/00000', 'uxriD2UTmDs_123.425000-125.305000/00000', '14voWHiySSY_244.446000-246.366000/00000']",50,,,,
GkoEbiPkYt4,90.464,93.464,GkoEbiPkYt4_90.464000-93.464000/00000,the fact that im reading her first,"[['the', 0, 3], ['fact', 4, 10], ['that', 13, 21], ['im', 50, 53], ['reading', 54, 61], ['her', 63, 66], ['first', 68, 75]]","['YhK7opcG6ao_53.558333-56.558333/00000', 'QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000']",77,,,,
eyBM3CsbUMI,111.614,115.694,eyBM3CsbUMI_111.614000-115.694000/00000,work out with these really hard and what i do is i do dumbbell,"[['work', 0, 4], ['out', 5, 7], ['with', 8, 11], ['these', 12, 19], ['really', 22, 27], ['hard', 28, 35], ['and', 52, 58], ['what', 73, 76], ['i', 77, 78], ['do', 79, 82], ['is', 83, 85], ['i', 86, 88], ['do', 89, 91], ['dumbbell', 92, 102]]","['OlAO9Ho-N58_36.709367-40.789367/00000', 'H05ah82huZY_211.900000-216.020000/00001', '2h6D7nI2ur0_257.603933-261.643933/00000', 'kJMfvVShns0_227.268500-231.388500/00000', '1LPZkXvxQAE_83.975867-88.015867/00000']",104,"[0.9969131, 0.6906206, 0.6782641]",1.0,0.0,0.0
aUKU1sV51vI,30.416733,33.856733,aUKU1sV51vI_30.416733-33.856733/00000,mainly because people say its built like a tank and we wanted to take,"[['mainly', 0, 7], ['because', 8, 15], ['people', 16, 22], ['say', 23, 25], ['its', 26, 29], ['built', 30, 34], ['like', 35, 39], ['a', 40, 41], ['tank', 41, 48], ['and', 55, 57], ['we', 58, 60], ['wanted', 61, 66], ['to', 67, 72], ['take', 81, 86]]","['QnySWW7xRBA_101.020000-104.460000/00000', '_1NZnypGpvg_249.207833-252.607833/00000', 'FyOCDAY6av4_45.811867-49.251867/00001', 'UPA_K0ehpPk_25.465000-28.945000/00000', 'X7_TUtpbCBk_94.423267-97.823267/00000']",88,"[0.9887729, 0.98160136, 0.5467485]",1.0,1.0,0.0
SFYAMA7NzvA,174.039,176.039,SFYAMA7NzvA_174.039000-176.039000/00000,i love about working on this game in,"[['i', 0, 4], ['love', 4, 8], ['about', 9, 15], ['working', 30, 37], ['on', 38, 40], ['this', 40, 43], ['game', 44, 48], ['in', 48, 50]]","['auqI-xQTrGI_228.293333-230.293333/00000', 'zA8_hWE9Qrs_57.651000-59.651000/00000', '1NIuXFu5QuA_94.730200-96.730200/00000', 'EYMOAU07c9M_243.766000-245.766000/00000', 'v7uM_JArHNQ_196.627600-198.627600/00000']",52,,,,
Ngo9MvGl7Sg,153.0316,154.6316,Ngo9MvGl7Sg_153.031600-154.631600/00000,on when were living in a culture,"[['on', 0, 3], ['when', 3, 6], ['were', 11, 14], ['living', 15, 20], ['in', 21, 23], ['a', 24, 24], ['culture', 26, 40]]","['DLhv1X4VryA_55.400000-57.040000/00000', '9wX1R7MQ83M_290.773000-292.373000/00000', 'VcLfCrH-nqs_97.383467-98.983467/00000', 'IOF-hp9gqao_49.769600-51.369600/00000', '28LMoYP2CB8_69.293333-70.893333/00000']",42,,,,
H05ah82huZY,211.9,216.02,H05ah82huZY_211.900000-216.020000/00001,tutoring program will be held tuesdays and thursdays during lunch fifth period,"[['tutoring', 0, 8], ['program', 9, 19], ['will', 20, 23], ['be', 24, 25], ['held', 26, 30], ['tuesdays', 32, 44], ['and', 46, 48], ['thursdays', 49, 62], ['during', 63, 70], ['lunch', 71, 77], ['fifth', 87, 93], ['period', 94, 103]]","['kJMfvVShns0_227.268500-231.388500/00000', '6ve8ZlUtoE4_159.818900-163.898900/00000', 'IE6-u6N5oE8_140.126533-144.246533/00000', 'HdFjhG_Qzms_270.600000-274.720000/00000', 'OlAO9Ho-N58_36.709367-40.789367/00000']",105,"[0.59075177, 0.46432698, 0.4328132]",1.0,1.0,0.0
vakvdtCNLHI,101.08,103.0,vakvdtCNLHI_101.080000-103.000000/00000,as my first layer because then i can always come,"[['as', 0, 2], ['my', 3, 6], ['first', 7, 13], ['layer', 14, 20], ['because', 27, 31], ['then', 32, 35], ['i', 35, 36], ['can', 37, 40], ['always', 41, 45], ['come', 45, 48]]","['4LrBiH96so4_296.761933-298.601933/00000', 'SFYAMA7NzvA_186.158000-188.038000/00001', 'G8EEcKGegPA_230.620000-232.500000/00001', 'qGUG89cXB7s_107.572167-109.412167/00000', '_1NZnypGpvg_218.889800-220.769800/00000']",49,"[0.9944661, 0.57730186, 0.52436554]",1.0,0.0,0.0
1NIuXFu5QuA,225.331333,228.331333,1NIuXFu5QuA_225.331333-228.331333/00000,having anything you might feel the same way,"[['having', 0, 7], ['anything', 10, 22], ['you', 44, 48], ['might', 49, 53], ['feel', 54, 59], ['the', 59, 62], ['same', 63, 68], ['way', 70, 75]]","['YhK7opcG6ao_53.558333-56.558333/00000', 'QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000']",77,,,,
uzgdaJCf0Mk,106.718667,108.438667,uzgdaJCf0Mk_106.718667-108.438667/00000,so thats the baseline and you can,"[['so', 0, 3], ['thats', 4, 12], ['the', 14, 16], ['baseline', 17, 32], ['and', 33, 35], ['you', 36, 39], ['can', 40, 43]]","['WSH8Utmak58_56.823000-58.503000/00000', '6b8aekOT3Po_197.302167-199.022167/00000', 'D9SH2gYhxTs_158.004033-159.724033/00000', 'MDaRpgsPRQI_135.127567-136.807567/00000', 'URuRrgR0Auo_241.926433-243.646433/00000']",45,,,,
Z3MGF3ASGU0,71.517233,73.437233,Z3MGF3ASGU0_71.517233-73.437233/00000,addition and you know it just it gets,"[['addition', 0, 10], ['and', 15, 17], ['you', 18, 20], ['know', 21, 24], ['it', 28, 29], ['just', 30, 34], ['it', 41, 42], ['gets', 43, 48]]","['CPvrxs7HUXg_70.608900-72.568900/00000', 'gD5ciEMMTB8_117.400000-119.360000/00000', '2zcZGcygoqg_90.920000-92.840000/00000', 'uxriD2UTmDs_123.425000-125.305000/00000', '14voWHiySSY_244.446000-246.366000/00000']",50,,,,
IE6-u6N5oE8,140.126533,144.246533,IE6-u6N5oE8_140.126533-144.246533/00000,and compartmentalize knowledge and favor expertise well thats all well and,"[['and', 0, 2], ['compartmentalize', 4, 24], ['knowledge', 25, 34], ['and', 37, 40], ['favor', 44, 53], ['expertise', 56, 73], ['well', 84, 87], ['thats', 87, 92], ['all', 93, 96], ['well', 96, 100], ['and', 102, 103]]","['HdFjhG_Qzms_270.600000-274.720000/00000', 'MDL85fzdc1g_31.524667-35.684667/00000', 'H05ah82huZY_211.900000-216.020000/00001', 'kJMfvVShns0_227.268500-231.388500/00000', 'u1pCbf_RmxQ_217.593333-221.793333/00000']",106,"[0.77653503, 0.8815623, 0.7136719]",1.0,0.0,0.0
D9SH2gYhxTs,174.506067,177.386067,D9SH2gYhxTs_174.506067-177.386067/00000,blue man can have connections and,"[['blue', 0, 6], ['man', 7, 14], ['can', 29, 35], ['have', 40, 46], ['connections', 47, 62], ['and', 70, 72]]","['LEqLP9p0vos_235.960000-238.920000/00000', 'BQTPH80Ky44_201.426667-204.306667/00000', 'RTIktB0GqIs_245.486633-248.406633/00000', 'iSfXhCApDBw_285.584500-288.464500/00000', 'dqt6uzGyGj8_293.821267-296.701267/00000']",75,,,,
NhiN4J2LFKs,27.356633,29.756633,NhiN4J2LFKs_27.356633-29.756633/00000,a little on the chubby side youll be a little bit more because youre,"[['a', 0, 0], ['little', 1, 5], ['on', 6, 7], ['the', 8, 9], ['chubby', 10, 17], ['side', 18, 25], ['youll', 25, 31], ['be', 32, 34], ['a', 35, 36], ['little', 37, 40], ['bit', 41, 43], ['more', 45, 49], ['because', 51, 56], ['youre', 56, 60]]","['Y4dojl8Qt7Q_277.163267-279.563267/00000', 'eCRC6ItsAdQ_74.566067-77.006067/00000', 'kTyE_PMahX8_188.117033-190.477033/00000', 'OUkQGGqI11k_188.734000-191.054000/00000', 'AFxyr9_DiG8_151.936533-154.416533/00000']",62,"[0.8322556, 0.6808477, 0.5497505]",1.0,0.0,0.0
oNV0SJoxrQY,212.889844,214.769844,oNV0SJoxrQY_212.889844-214.769844/00000,funnel up here so lets pretend im,"[['funnel', 0, 8], ['up', 11, 13], ['here', 14, 18], ['so', 21, 24], ['lets', 26, 31], ['pretend', 32, 42], ['im', 43, 47]]","['4LrBiH96so4_296.761933-298.601933/00000', 'SFYAMA7NzvA_186.158000-188.038000/00001', 'G8EEcKGegPA_230.620000-232.500000/00001', 'qGUG89cXB7s_107.572167-109.412167/00000', 'vakvdtCNLHI_101.080000-103.000000/00000']",49,,,,
kJMfvVShns0,227.2685,231.3885,kJMfvVShns0_227.268500-231.388500/00000,had to do some special engineering for nearfield listening as opposed to,"[['had', 0, 2], ['to', 3, 5], ['do', 6, 12], ['some', 25, 29], ['special', 30, 37], ['engineering', 39, 49], ['for', 50, 54], ['nearfield', 55, 69], ['listening', 72, 83], ['as', 88, 90], ['opposed', 92, 100], ['to', 100, 103]]","['H05ah82huZY_211.900000-216.020000/00001', '6ve8ZlUtoE4_159.818900-163.898900/00000', 'IE6-u6N5oE8_140.126533-144.246533/00000', 'HdFjhG_Qzms_270.600000-274.720000/00000', 'OlAO9Ho-N58_36.709367-40.789367/00000']",105,"[0.9695463, 0.4242455, 0.60776085]",1.0,0.0,0.0
KABmuIT1X6k,258.2108,260.8108,KABmuIT1X6k_258.210800-260.810800/00000,you in some form and youre trying to bring them to a,"[['you', 0, 3], ['in', 4, 6], ['some', 7, 12], ['form', 13, 21], ['and', 33, 35], ['youre', 36, 41], ['trying', 42, 48], ['to', 48, 50], ['bring', 51, 56], ['them', 56, 59], ['to', 60, 63], ['a', 64, 65]]","['8Lg8K95bZOY_114.467000-117.067000/00000', 'MYGp50XWvUQ_277.640000-280.280000/00001', 'B9UYv1klnFQ_30.270000-33.150000/00000', 'jpbTJ-3gNJw_170.840000-173.520000/00000', '_x2BRX8ENN8_286.440000-289.040000/00000']",67,"[0.98204386, 0.7072776, 0.9512409]",1.0,1.0,0.0
P6myrg6QCLk,65.9659,67.7659,P6myrg6QCLk_65.965900-67.765900/00000,his parents had died he could not go home,"[['his', 0, 2], ['parents', 2, 7], ['had', 7, 10], ['died', 11, 18], ['he', 23, 25], ['could', 26, 30], ['not', 31, 35], ['go', 36, 39], ['home', 40, 45]]","['x9hSsX9sTOs_54.449800-56.249800/00000', 'LXbUrJ59NVc_75.511400-77.311400/00000', 'w7wgIZJsUUI_101.438333-103.238333/00000', '0iRZiM4reRk_138.343233-140.143233/00000', '5LnLIV7cB3c_278.964000-280.764000/00000']",47,,,,
YhK7opcG6ao,53.558333,56.558333,YhK7opcG6ao_53.558333-56.558333/00000,be as scientists begin to work more with lawyers,"[['be', 0, 7], ['as', 15, 17], ['scientists', 20, 35], ['begin', 36, 42], ['to', 44, 46], ['work', 47, 53], ['more', 55, 59], ['with', 60, 64], ['lawyers', 65, 75]]","['QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000', '7qexZo5TZpE_174.198367-177.198367/00000']",77,,,,
TvteDoRSRr8,61.049956,64.569956,TvteDoRSRr8_61.049956-64.569956/00000,how open source communities operate and apply the theories and ideas,"[['how', 0, 9], ['open', 20, 24], ['source', 25, 28], ['communities', 29, 36], ['operate', 38, 44], ['and', 44, 46], ['apply', 47, 56], ['the', 56, 71], ['theories', 71, 81], ['and', 81, 83], ['ideas', 83, 88]]","['eWt2ibTKdFI_44.377000-47.897000/00000', 'OlAO9Ho-N58_106.623800-110.223800/00000', 'YsgC5214VVQ_211.369800-214.849800/00000', 'auqI-xQTrGI_226.533333-230.133333/00000', 'UPA_K0ehpPk_5.910000-9.430000/00000']",91,"[0.9981558, 0.9739949, 0.9324872]",1.0,1.0,1.0
7vxBX-ZzgCk,121.5801,125.7801,7vxBX-ZzgCk_121.580100-125.780100/00000,important that we understand that sometimes we learn about these stages of,"[['important', 0, 9], ['that', 9, 11], ['we', 12, 14], ['understand', 15, 25], ['that', 26, 29], ['sometimes', 37, 47], ['we', 49, 53], ['learn', 77, 82], ['about', 84, 89], ['these', 90, 93], ['stages', 95, 103], ['of', 104, 105]]","['u1pCbf_RmxQ_217.593333-221.793333/00000', 'J23CEMM9r7w_194.360433-198.520433/00001', 'IE6-u6N5oE8_140.126533-144.246533/00000', 'HdFjhG_Qzms_270.600000-274.720000/00000', 'IQMIZ96UQR0_16.853467-21.093467/00000']",107,"[0.78792626, 0.57288206, 0.3461637]",1.0,1.0,1.0
LEnSlM-C-Bg,247.997967,250.997967,LEnSlM-C-Bg_247.997967-250.997967/00000,when i started or finished working in mexico we,"[['when', 0, 3], ['i', 5, 9], ['started', 10, 17], ['or', 20, 22], ['finished', 25, 34], ['working', 36, 45], ['in', 46, 47], ['mexico', 49, 61], ['we', 72, 75]]","['YhK7opcG6ao_53.558333-56.558333/00000', 'QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000']",77,,,,
02PPZ3EAnak,39.033333,42.113333,02PPZ3EAnak_39.033333-42.113333/00001,all right so based on the problems that have been reported theres a,"[['all', 0, 1], ['right', 2, 6], ['so', 8, 15], ['based', 18, 25], ['on', 27, 29], ['the', 30, 34], ['problems', 37, 46], ['that', 47, 49], ['have', 49, 51], ['been', 52, 55], ['reported', 56, 67], ['theres', 70, 75], ['a', 76, 77]]","['tAp6A-Fycsk_247.246433-250.326433/00000', 'WPJ62m8K27M_25.000000-28.160000/00001', 'DQGoNFKtYLs_30.803333-34.123333/00000', 'UKSXKQql8Gg_284.697067-287.857067/00000', 'stSeGmIcoZM_286.404000-289.484000/00000']",80,"[0.5207042, 0.42123768, 0.4407985]",1.0,0.0,0.0
SxHtSYORIEw,47.9463,50.9063,SxHtSYORIEw_47.946300-50.906300/00000,the evolution of sex if,"[['the', 0, 7], ['evolution', 10, 28], ['of', 34, 37], ['sex', 40, 50], ['if', 72, 74]]","['YhK7opcG6ao_53.558333-56.558333/00000', 'QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000']",77,,,,
nGu66zO81ss,180.36,186.68,nGu66zO81ss_180.360000-186.680000/00000,were monads we are sentient beings and were each different views of the,"[['were', 0, 18], ['monads', 19, 36], ['we', 44, 46], ['are', 48, 50], ['sentient', 52, 64], ['beings', 65, 74], ['and', 77, 79], ['were', 80, 84], ['each', 87, 93], ['different', 121, 131], ['views', 143, 151], ['of', 153, 154], ['the', 155, 158]]","['dqt6uzGyGj8_291.781267-298.061267/00000', 'rrksK7GhfJM_61.826633-68.026633/00000', '2lbUV_-Km54_151.840000-158.040000/00000', 'udhNUs5BBHw_224.016367-230.456367/00000', 'hGgbpmRnp88_283.254267-289.334267/00000']",159,"[0.9844036, 0.9595517, 0.92107373]",1.0,1.0,1.0
Y3W9hNBMVzk,204.992,207.832,Y3W9hNBMVzk_204.992000-207.832000/00000,in christ therefore we should make it a real,"[['in', 0, 2], ['christ', 2, 10], ['therefore', 19, 29], ['we', 31, 34], ['should', 35, 40], ['make', 43, 51], ['it', 52, 54], ['a', 63, 65], ['real', 66, 71]]","['zA8_hWE9Qrs_241.246000-244.086000/00000', 'Fnl7SI2KlbM_115.040000-117.920000/00001', '8ingHnmvfAY_32.270200-35.110200/00000', 'OtVgSl6hA28_227.960000-230.840000/00000', 'u3xzUzBp4BE_202.127067-204.967067/00000']",73,,,,
asdTx7EIgvs,233.184167,234.984167,asdTx7EIgvs_233.184167-234.984167/00000,want to emphasize that in general,"[['want', 0, 3], ['to', 3, 4], ['emphasize', 6, 20], ['that', 22, 25], ['in', 29, 31], ['general', 33, 45]]","['YhK7opcG6ao_97.123533-98.843533/00000', 'FQ0UwvWltrY_55.280000-57.080000/00000', 'mj3Tt0uratA_170.749300-172.509300/00000', 'CF2HyCYJrFU_170.122567-171.882567/00000', '1kgrbYCHspE_293.786267-295.506267/00001']",46,,,,
u3xzUzBp4BE,176.078167,177.718167,u3xzUzBp4BE_176.078167-177.718167/00000,the good of the group to,"[['the', 0, 2], ['good', 4, 10], ['of', 13, 15], ['the', 17, 19], ['group', 20, 28], ['to', 38, 41]]","['OlugY_yg1HE_16.669000-18.309000/00000', 'obrHov9XfRk_259.440000-261.120000/00000', '5PDZF-MMy94_284.280000-285.960000/00000', 'WKCak99uZ8Y_105.973333-107.613333/00000', 'DLhv1X4VryA_55.400000-57.040000/00000']",43,,,,
